Philosophe	Naissance	Mort	Catégorie	Image	Page Wikipedia	Extrait Wikipédia
Frantz Fanon	1925	1961	Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/a/a3/Fanon_et_M%27Hamed_Yazid_repr%C3%A9sentant_le_FLN_%C3%A0_la_conf%C3%A9rence_Pan_Africaine_en_Kinshasa_le_27_ao%C3%BBt_1960_%28cropped%29.jpg	https://fr.wikipedia.org/wiki/Frantz_Fanon	<p><b>Frantz Fanon</b>, né le <time datetime=""1925-07-20"" data-sort-value=""1925-07-20"">20 juillet 1925</time> à Fort-de-France (Martinique) et mort le <time datetime=""1961-12-06"" data-sort-value=""1961-12-06"">6 décembre 1961</time> à Bethesda dans un hôpital militaire de la banlieue de Washington aux États-Unis, est un psychiatre et essayiste de nationalité française se considérant comme citoyen algérien, fortement impliqué dans la lutte pour l'indépendance de l'Algérie et dans un combat international dressant une solidarité entre « frères » opprimés. </p><p>Il est l'un des fondateurs du courant de pensée tiers-mondiste, et une figure majeure de l'anticolonialisme. Il a inspiré les études postcoloniales. Il cherche à analyser les conséquences psychologiques de la colonisation à la fois sur le colon et sur le colonisé. Dans ses livres les plus connus comme <i>Les Damnés de la Terre</i>, il analyse le processus de décolonisation sous les angles sociologique, philosophique et psychiatrique. Il a également écrit des articles importants en psychiatrie. </p> 
Gilles Deleuze	1925	1995	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/0/0d/%DA%98%DB%8C%D9%84_%D8%AF%D9%84%D9%88%D8%B2.jpg	https://fr.wikipedia.org/wiki/Gilles_Deleuze	<p><b>Gilles Deleuze</b> est un philosophe français né à Paris dans le 17<sup>e</sup> arrondissement, le <time datetime=""1925-01-18"" data-sort-value=""1925-01-18"">18 janvier 1925</time> et mort en se suicidant dans la même ville et même arrondissement, le <time datetime=""1995-11-04"" data-sort-value=""1995-11-04"">4 novembre 1995</time>. Des années 1960 jusqu'à sa mort, Deleuze a écrit une œuvre philosophique influente et complexe, à propos de la philosophie elle-même, de la littérature, de la politique, de la psychanalyse, du cinéma et de la peinture. Jusqu'à sa retraite en 1988, il fut également un professeur de philosophie renommé. </p><p>D'abord perçu comme un historien de la philosophie, car il a écrit des ouvrages sur des philosophes aussi divers que David Hume, Friedrich Nietzsche, Emmanuel Kant, Baruch Spinoza, Henri Bergson, Deleuze évolue vers une nouvelle définition du philosophe comme <span>« celui qui crée des concepts »</span> dans la Cité, soit un créateur en philosophie de mots nouveaux, de sens différents. Il revient néanmoins à l'histoire de la philosophie à la fin de sa carrière universitaire, en consacrant des ouvrages à Michel Foucault, François Châtelet et Gottfried Wilhelm Leibniz. </p><p>Sa thèse de philosophie est centrée sur le concept de <span>« différence »</span> et <span>« répétition »</span>, c'est-à-dire au rapport du même à la ressemblance, de la copie au double, et de l'effet de la répétition à l'infini par rapport à un original. Il y prend comme référence Gottfried Wilhelm Leibniz, qui était à la fois métaphysicien et mathématicien. Deleuze tente d'y développer une métaphysique, en accord avec la physique et les mathématiques de son temps (les années 1960), dans laquelle les concepts de multiplicité, d'événement et de virtualité remplacent respectivement ceux de substance, d'essence et de possibilité. </p><p>Deleuze s'intéresse ensuite aux rapports entre sens, non-sens et événement, à partir de l'œuvre de Lewis Carroll, du philosophe Whitehead et du stoïcisme grec. Enfin il développe une métaphysique et une philosophie de l'art originales en s'intéressant au cinéma autant qu'au peintre Francis Bacon. </p><p>Avec Félix Guattari, il développe un cycle intitulé « Capitalisme et schizophrénie » qui comprend <i>L'Anti-Œdipe</i> (1972) et <i>Mille Plateaux</i> (1980). Ils écrivent ensemble deux autres ouvrages : <i>Kafka. Pour une littérature mineure</i> (1975) et <i>Qu'est-ce que la philosophie ?</i> (1991). Ils créent les concepts de rhizome ou de déterritorialisation, menant une critique conjointe de la psychanalyse et du capitalisme contemporain. Ces deux premiers livres ont un retentissement certain dans les milieux universitaires occidentaux et ont un impact, des années 1970 aux années 1980, sur les sciences sociales et jusqu'aux États-Unis, où émerge ensuite la <i>French Theory</i> (et son pendant critique), à laquelle il est largement associé. </p><p>La pensée de Deleuze est parfois également associée au post-structuralisme, bien qu'il ait déclaré s'être toujours vu comme un métaphysicien. </p><p>Deleuze a reçu en 1994 le grand prix de philosophie de l'Académie française pour l'ensemble de son œuvre. </p>
Michael Dummett	1925	2011	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/0/07/Michael_Dummett_September_2004.jpg	https://fr.wikipedia.org/wiki/Michael_Dummett	<p>Sir <b>Michael Anthony Eardley Dummett </b> (né le <time datetime=""1925-06-27"" data-sort-value=""1925-06-27"">27 juin 1925</time> à Londres et mort le <time datetime=""2011-12-27"" data-sort-value=""2011-12-27"">27 décembre 2011</time> à Oxford) est l'un des principaux philosophes britanniques du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle et l'un des principaux auteurs de la philosophie analytique. </p>
David Malet Armstrong	1926	2014	Philosophie analytique		https://fr.wikipedia.org/wiki/David_Malet_Armstrong	 <p><b>David Malet Armstrong</b> (né le <time datetime="1926-07-08" data-sort-value="1926-07-08">8 juillet 1926</time> à Melbourne – mort le <time datetime="2014-05-13" data-sort-value="2014-05-13">13 mai 2014</time> à Sydney) est un philosophe australien appartenant au courant de pensée analytique. Chef de file de l'école réaliste australienne, ses derniers travaux se donnent pour objectif de construire une métaphysique réaliste « robuste ». </p><p>Armstrong a défendu le physicalisme en métaphysique, le réalisme scientifique dans le champ épistémologique, ainsi qu'une forme réductionniste de matérialisme en philosophie de l'esprit. Il a également développé une ontologie des états de choses (<i>states of affairs</i>) associée à une épistémologie des vérifacteurs (<i>truthmakers</i>). </p><p>David Armstrong joue un rôle crucial dans la réémergence de la question des universaux, posée désormais en lien étroit avec les acquis scientifiques contemporains. </p>
Hilary Putnam	1926	2016	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/6/62/Hilary_Putnam.jpg	https://fr.wikipedia.org/wiki/Hilary_Putnam	<p><b>Hilary Whitehall Putnam</b>, né le <time datetime=""1926-07-31"" data-sort-value=""1926-07-31"">31 juillet 1926</time> à Chicago, en Illinois, et mort le <time datetime=""2016-03-13"" data-sort-value=""2016-03-13"">13 mars 2016</time> à Arlington (Massachusetts), est un philosophe américain. Il est une figure centrale de la philosophie occidentale à partir des années 1960, particulièrement en philosophie de l'esprit, du langage et des sciences. Il est connu pour appliquer le même degré de vigilance à l'égard de ses propres positions philosophiques qu'à l'égard de celles des autres, soumettant chacune d'entre elles à une analyse rigoureuse jusqu'à en exposer les insuffisances. Il a ainsi acquis la réputation de changer fréquemment de position<sup>,</sup>. </p><p>Son œuvre se déploie sur une part importante du champ philosophique : philosophie des sciences, de la logique et des mathématiques ; philosophie de l'esprit, du langage, et de la connaissance ; métaphilosophie, éthique et politique. </p><p>En philosophie de l'esprit, Putnam est surtout connu pour avoir présenté un argument redoutable contre la thèse d'identité entre les états mentaux et les états cérébraux, fondé sur l'hypothèse de la réalisabilité multiple des propriétés mentales, et pour sa défense du fonctionnalisme, une importante théorie sur le problème du corps et de l'esprit. </p><p>En philosophie du langage, avec Saul Kripke notamment, il a développé la théorie causale de la référence <span title=""Article en anglais : « théorie causale de la référence »"">(en)</span> et proposé une approche originale de la signification, nommée externalisme sémantique <span title=""Article en allemand : « Semantischer Externalismus »"">(de)</span>, et fondée sur une des plus célèbres expériences de pensée, l'expérience de la Terre jumelle. </p><p>En philosophie des mathématiques, il a développé avec W. V. Quine la thèse — dite Quine-Putnam — d'indispensabilité, un argument en faveur de la réalité des entités mathématiques. </p><p>En métaphysique, il a d'abord défendu une position appelée réalisme métaphysique, position dont il est devenu ensuite l'un des critiques les plus sévères, défendant alors une autre position, nommée par lui réalisme interne, position elle-même abandonnée en faveur d'un réalisme pragmatiste (ou « ordinaire » ou « naïf ») hérité du réalisme direct de William James, des écrits du second Wittgenstein et de ceux de John Langshaw Austin. Selon cette dernière position il s'agit de renvoyer l'étude de la métaphysique à la manière dont nous faisons l'expérience du monde, au rejet de l'idée de représentation mentale, des <i>données des sens</i> et des autres intermédiaires entre l'esprit et le monde. </p><p>En épistémologie, il est surtout connu pour avoir présenté une expérience de pensée, l'expérience du cerveau dans une cuve, destinée à répondre non au scepticisme épistémologique mais au réalisme métaphysique. </p><p>En dehors de la philosophie, Putnam a aussi fait quelques contributions en mathématiques et en informatique. Il a développé l'algorithme de Davis-Putnam pour le problème SAT, avec Martin Davis et a aidé à démontrer l'impossibilité de résolution du dixième problème de Hilbert. Il a par ailleurs été membre du Progressive Labor Party de 1965 à 1972, un parti oscillant entre marxisme-léninisme et maoïsme et présent en particulier au sein de la Students for a Democratic Society (SDS), vers la fin des années 1960 jusqu'au début des années 1970. </p>
Michel Foucault	1926	1984	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/7/76/Michel_Foucault_1974_Brasil.jpg	https://fr.wikipedia.org/wiki/Michel_Foucault	<p><b>Paul-Michel Foucault</b><sup>,</sup>, dit <b>Michel Foucault</b>, est un philosophe français né le <time datetime=""1926-10-15"" data-sort-value=""1926-10-15"">15 octobre 1926</time> à Poitiers et mort le <time datetime=""1984-06-25"" data-sort-value=""1984-06-25"">25 juin 1984</time> à Paris <abbr title=""Treizième"">13<sup>e</sup></abbr>. </p><p>Il est connu pour ses critiques des institutions sociales, principalement la psychiatrie, la médecine, le système carcéral, et pour ses idées et développements sur l'histoire de la sexualité, ses théories générales sur le pouvoir et les relations complexes entre pouvoir et connaissance. </p><p>Associé aux débuts du Centre universitaire expérimental de Vincennes, il est ensuite, de 1970 à 1984, titulaire d'une chaire au Collège de France qu'il intitule « Histoire des systèmes de pensée ». Militant politique dans les années 1970, il participe aux premiers mouvements de soutien aux travailleurs immigrés et fonde le Groupe d'information sur les prisons qui donne la parole aux détenus sur leurs conditions de vie. </p><p>D'abord associé au structuralisme, Foucault a produit une œuvre aujourd'hui rattachée au post-structuralisme et à la philosophie postmoderne. Figure phare de la <i>French Theory</i>, son travail reste relativement fécond dans le monde académique notamment anglo-saxon par-delà les spécialisations disciplinaires. <i><span lang=""en"">The Times Higher Education Guide</span></i> le décrit en 2009 comme l'auteur en sciences humaines le plus cité au monde. </p><p>Il est l'une des premières personnalités à mourir du sida en France. Son compagnon, Daniel Defert, a fondé l'association AIDES en son honneur. </p> 
Stanley Cavell	1926	2018	Philosophie XXe	https://upload.wikimedia.org/wikipedia/commons/8/8b/Stanley_Cavell%2C_Paris_2015.jpg	https://fr.wikipedia.org/wiki/Stanley_Cavell	<p><b>Stanley Louis Cavell</b>, né le <time datetime=""1926-09-01"" data-sort-value=""1926-09-01""><abbr title=""premier"">1<sup>er</sup></abbr> septembre 1926</time> à Atlanta et mort le <time datetime=""2018-06-19"" data-sort-value=""2018-06-19"">19 juin 2018</time> à Boston, est un écrivain et philosophe américain. </p><p>Il a été à partir de 1997 professeur émérite d'esthétique et de théorie générale de la valeur (<i>Value theory</i>) qu'il enseigne à partir de 1963 à l'université Harvard. Son travail philosophique se situe à la croisée de la philosophie continentale et de la philosophie analytique américaine<sup>,</sup>. Il est connu pour ses travaux de philosophie sur le cinéma notamment avec ses ouvrages <i>La Projection du monde</i>, <i>À la recherche du bonheur</i>, <i>Le cinéma nous rend-il meilleurs ?</i> et <i>Philosophie des salles obscures</i>. </p>
Joel Feinberg	1926	2004	Philosophie sociale et politique XXe		https://fr.wikipedia.org/wiki/Joel_Feldman	<p><b>Joel Shalom Feldman</b> est un mathématicien canadien né le <time datetime=""1949-06-14"" data-sort-value=""1949-06-14"">14 juin 1949</time> à Ottawa. Il travaille notamment dans le domaine de la physique mathématique. </p>
Edmund Gettier	1927	2021	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/a/ad/Edmund_L_Gettier_III_ca_1960s_umass.jpg	https://fr.wikipedia.org/wiki/Edmund_Gettier	<p><b>Edmund L. Gettier</b> (né le <time datetime=""1927-10-31"" data-sort-value=""1927-10-31"">31 octobre 1927</time> à Baltimore, Maryland et mort le <time datetime=""2021-03-23"" data-sort-value=""2021-03-23"">23 mars 2021</time>) est un philosophe américain et professeur émérite à l'université du Massachusetts à Amherst ; il doit sa réputation à un article de trois pages publié en 1963 intitulé <i>Is Justified True Belief Knowledge?</i> </p>
Nicholas Rescher	1928		Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/9/9f/Nicholas_Rescher_2.jpg	https://fr.wikipedia.org/wiki/Nicholas_Rescher	<p><b>Nicholas Rescher</b> (<span title=""Alphabet phonétique international"">[<span title=""[r] « r » roulé."">r</span><span title=""[ɛ] « è » dans « mère »."">ɛ</span><span title=""[ʃ] « ch » dans « chou »."">ʃ</span><span title=""[r] « r » roulé."">r</span>]</span>; en allemand : <span>[ˈʀɛʃɐ]</span>; né le <time datetime=""1928-07-15"" data-sort-value=""1928-07-15"">15 juillet 1928</time>, est un philosophe germano-américain de l'université de Pittsburgh. Il est président du <i>Centre de philosophie de la science <span title=""Article en anglais : « Center for Philosophy of Science »"">(en)</span></i> et a été président du département de philosophie. Il a été président de l'<i>American Catholic Philosophy Association</i>, <i>American G.W. Leibniz Society</i>, <i>American Metaphysical Society</i>, <i>American Philosophical Association</i> et <i>C.S. Peirce Society</i>. Il est le fondateur du <i>American Philosophical Quarterly <span title=""Article en anglais : « American Philosophical Quarterly »"">(en)</span></i>. </p>
